variable,family,n_ob,n_events,null_median_low_to_high_delta_z,null_median_high_to_low_delta_z,null_median_direction_contrast_z,null_abs_median_direction_contrast_z,null_direction_contrast_sign_consistency,replicate
resid_radial_abs_mean,radial,19,1470,0.0579263384805459,0.016381377182041176,0.013641832624069206,0.013641832624069206,0.5263157894736842,52
resid_tangential_fraction,tangential_swirl,19,1471,-0.1479163496258904,-0.025526477982662554,-0.2071386351658211,0.2071386351658211,0.6842105263157895,53
edge_minus_core_resid_tangential,edge_core,19,1471,0.09830511285544555,0.030521458144777053,0.11958404255744548,0.11958404255744548,0.5789473684210527,53
edge_minus_core_resid_speed,edge_core,19,1471,-0.06207739588046518,0.005246658141892319,0.11213893051623419,0.11213893051623419,0.5789473684210527,53
resid_tangential_speed_mean,tangential_swirl,19,1471,-0.15831352749353342,0.056453366475143416,-0.09312213148093641,0.09312213148093641,0.631578947368421,53
resid_radial_abs_mean,radial,19,1471,0.06491295716170369,-0.017473994776546764,0.08405542245312696,0.08405542245312696,0.7368421052631579,53
resid_inward_fraction,radial,19,1471,-0.0066958085588025296,0.00618769516886189,0.08122371070975176,0.08122371070975176,0.631578947368421,53
resid_polarization,residual_order,19,1471,0.025865680495175652,-0.03265792957579129,0.0623785844254743,0.0623785844254743,0.631578947368421,53
radius_resid_tangential_corr,edge_core,19,1471,0.07712131980130876,0.053804163892443545,0.060501558079824685,0.060501558079824685,0.631578947368421,53
radius_resid_speed_corr,edge_core,19,1471,-0.03093493911536689,0.01037709131395817,-0.036177758641696256,0.036177758641696256,0.5263157894736842,53
resid_velocity_cov_trace,residual_intensity,19,1471,0.006563586781210606,-0.017388188122794912,0.02883318329318546,0.02883318329318546,0.5263157894736842,53
resid_speed_rms,residual_intensity,19,1471,-0.0022143312750885213,-0.004965742949582533,-0.023334435584443147,0.023334435584443147,0.5263157894736842,53
resid_radial_velocity_mean,radial,19,1471,-0.03570192257945359,0.007608682151650059,0.00921951495563074,0.00921951495563074,0.5263157894736842,53
resid_polarization,residual_order,19,1471,-0.0243219563739539,-0.1182121793355321,0.19171959265034316,0.19171959265034316,0.631578947368421,54
radius_resid_tangential_corr,edge_core,19,1471,0.07782859947298842,-0.10165371886653388,0.17380070715716667,0.17380070715716667,0.6842105263157895,54
radius_resid_speed_corr,edge_core,19,1471,0.005488107851250423,-0.07487068360938198,0.1404598368619499,0.1404598368619499,0.5789473684210527,54
edge_minus_core_resid_tangential,edge_core,19,1471,0.024410161551213838,-0.11627899023311755,0.13632522712947015,0.13632522712947015,0.6842105263157895,54
edge_minus_core_resid_speed,edge_core,19,1471,0.15374869765865018,-0.14240569574289053,0.1245795868364965,0.1245795868364965,0.631578947368421,54
resid_tangential_fraction,tangential_swirl,19,1471,0.14169819008555984,0.01662022697287671,0.11841326011814951,0.11841326011814951,0.6842105263157895,54
resid_radial_velocity_mean,radial,19,1471,0.025533421914431753,-0.06857813153641157,0.08639878542789514,0.08639878542789514,0.6842105263157895,54
resid_inward_fraction,radial,19,1471,0.007041527199942485,-0.026081926157892864,0.08052653789417069,0.08052653789417069,0.5789473684210527,54
resid_radial_abs_mean,radial,19,1471,-0.117756415635177,0.04204748068357311,-0.05880603529292858,0.05880603529292858,0.6842105263157895,54
resid_velocity_cov_trace,residual_intensity,19,1471,0.027787442356494135,0.029667478306018485,-0.014491330584006423,0.014491330584006423,0.5263157894736842,54
resid_tangential_speed_mean,tangential_swirl,19,1471,-0.020750105818668013,-0.05173448199542219,0.006090441112636624,0.006090441112636624,0.5789473684210527,54
resid_speed_rms,residual_intensity,19,1471,0.009795384871774199,0.024281639520971177,-0.005630024907090664,0.005630024907090664,0.5263157894736842,54
resid_tangential_fraction,tangential_swirl,19,1470,-0.09499011700149873,-0.03577436938986034,-0.09997998921359005,0.09997998921359005,0.631578947368421,55
radius_resid_speed_corr,edge_core,19,1470,-0.05705218290386658,0.06605915051910115,-0.09611914769072932,0.09611914769072932,0.6842105263157895,55
