spectral_set,run_frames,run_duration_sec,partition_id,ob,dataset
low,19,0.1899999999999943,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,14,0.1399999999999958,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,7,0.0699999999999979,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,307,3.069999999999908,eig2,1,Ob1.txt
high,9,0.0899999999999973,eig2,1,Ob1.txt
low,10,0.09999999999999701,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,39,0.3899999999999883,eig2,1,Ob1.txt
high,48,0.4799999999999856,eig2,1,Ob1.txt
low,3,0.0299999999999991,eig2,1,Ob1.txt
high,61,0.6099999999999817,eig2,1,Ob1.txt
low,6,0.0599999999999982,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,28,0.2799999999999916,eig2,1,Ob1.txt
low,12,0.1199999999999964,eig2,1,Ob1.txt
high,36,0.3599999999999892,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,29,0.2899999999999913,eig2,1,Ob1.txt
low,27,0.2699999999999919,eig2,1,Ob1.txt
high,283,2.8299999999999153,eig2,1,Ob1.txt
low,97,0.9699999999999709,eig2,1,Ob1.txt
high,4,0.0399999999999988,eig2,1,Ob1.txt
low,2,0.0199999999999994,eig2,1,Ob1.txt
high,1,0.0099999999999997,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,107,1.0699999999999679,eig2,1,Ob1.txt
low,1,0.0099999999999997,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,173,1.729999999999948,eig2,1,Ob1.txt
high,213,2.129999999999936,eig2,1,Ob1.txt
low,120,1.199999999999964,eig2,1,Ob1.txt
high,3,0.0299999999999991,eig2,1,Ob1.txt
low,10,0.09999999999999701,eig2,1,Ob1.txt
high,2,0.0199999999999994,eig2,1,Ob1.txt
low,18,0.1799999999999946,eig2,1,Ob1.txt
high,10,0.09999999999999701,eig2,1,Ob1.txt
low,93,0.9299999999999721,eig2,2,Ob2.txt
high,7,0.0699999999999979,eig2,2,Ob2.txt
low,116,1.1599999999999653,eig2,2,Ob2.txt
high,65,0.6499999999999805,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,39,0.3899999999999883,eig2,2,Ob2.txt
low,4,0.0399999999999988,eig2,2,Ob2.txt
high,4,0.0399999999999988,eig2,2,Ob2.txt
low,13,0.1299999999999961,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,6,0.0599999999999982,eig2,2,Ob2.txt
high,106,1.0599999999999683,eig2,2,Ob2.txt
low,10,0.09999999999999701,eig2,2,Ob2.txt
high,9,0.0899999999999973,eig2,2,Ob2.txt
low,30,0.299999999999991,eig2,2,Ob2.txt
high,26,0.2599999999999922,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,3,0.0299999999999991,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,125,1.2499999999999625,eig2,2,Ob2.txt
low,1,0.0099999999999997,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,29,0.2899999999999913,eig2,2,Ob2.txt
high,25,0.2499999999999925,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,23,0.2299999999999931,eig2,2,Ob2.txt
high,11,0.1099999999999967,eig2,2,Ob2.txt
low,24,0.2399999999999928,eig2,2,Ob2.txt
high,8,0.0799999999999976,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,21,0.2099999999999937,eig2,2,Ob2.txt
high,63,0.6299999999999811,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,6,0.0599999999999982,eig2,2,Ob2.txt
low,9,0.0899999999999973,eig2,2,Ob2.txt
high,53,0.5299999999999842,eig2,2,Ob2.txt
low,6,0.0599999999999982,eig2,2,Ob2.txt
high,8,0.0799999999999976,eig2,2,Ob2.txt
low,3,0.0299999999999991,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,42,0.4199999999999874,eig2,2,Ob2.txt
high,1,0.0099999999999997,eig2,2,Ob2.txt
low,2,0.0199999999999994,eig2,2,Ob2.txt
high,2,0.0199999999999994,eig2,2,Ob2.txt
low,86,0.8599999999999742,eig2,2,Ob2.txt
high,10,0.09999999999999701,eig2,2,Ob2.txt
low,5,0.049999999999998504,eig2,2,Ob2.txt
high,6,0.0599999999999982,eig2,2,Ob2.txt
