ob,dataset,history_window_sec,history_feature,current_state,spearman_corr,pearson_corr,n
4,Ob4.txt,0.5,turning_proxy,dCdt,0.04280882297223865,0.019728700406168705,1365
4,Ob4.txt,0.5,turning_proxy,R,0.07093804509380951,0.00888833296405658,1365
4,Ob4.txt,0.75,dC_h,C,0.37155695669871003,0.4523434537574472,1486
4,Ob4.txt,0.75,dC_h,dCdt,0.5082580473506407,0.5458742119824062,1486
4,Ob4.txt,0.75,dC_h,R,-0.3794018699651274,-0.40690295006867827,1486
4,Ob4.txt,0.75,dR_h,C,-0.3913744433028203,-0.4399961518495731,1486
4,Ob4.txt,0.75,dR_h,dCdt,-0.5013834313871152,-0.5174992885581048,1486
4,Ob4.txt,0.75,dR_h,R,0.412851399916688,0.44199352797489105,1486
4,Ob4.txt,0.75,path_length,C,0.10351532734373342,0.257166274035193,1486
4,Ob4.txt,0.75,path_length,dCdt,0.009237010830362272,0.13269398972543794,1486
4,Ob4.txt,0.75,path_length,R,-0.0995395863853859,-0.15279674789566755,1486
4,Ob4.txt,0.75,cos_theta_h,C,0.2791068016106755,0.34933845901753996,1456
4,Ob4.txt,0.75,cos_theta_h,dCdt,0.3792180376565039,0.41860436949707247,1456
4,Ob4.txt,0.75,cos_theta_h,R,-0.25342908087815363,-0.33034407857976306,1456
4,Ob4.txt,0.75,sin_theta_h,C,-0.2966398448822438,-0.3172506173352384,1456
4,Ob4.txt,0.75,sin_theta_h,dCdt,-0.3631161029532914,-0.38593860961224336,1456
4,Ob4.txt,0.75,sin_theta_h,R,0.33539208917793645,0.35259357673530134,1456
4,Ob4.txt,0.75,turning_proxy,C,-0.09594281998331602,-0.06776072503427832,1403
4,Ob4.txt,0.75,turning_proxy,dCdt,0.06712637092056371,0.05005924181422395,1403
4,Ob4.txt,0.75,turning_proxy,R,0.08664445476687024,0.03978118659885944,1403
5,Ob5.txt,0.25,dC_h,C,0.11246212362430516,0.1498186066824391,1491
5,Ob5.txt,0.25,dC_h,dCdt,0.8273332602267436,0.8577288873593212,1491
5,Ob5.txt,0.25,dC_h,R,-0.1193625361214193,-0.11967438805612296,1491
5,Ob5.txt,0.25,dR_h,C,-0.11062975365553163,-0.12619630374735397,1491
5,Ob5.txt,0.25,dR_h,dCdt,-0.808629161296657,-0.7635159083129237,1491
5,Ob5.txt,0.25,dR_h,R,0.11726606648545934,0.12641378586941837,1491
5,Ob5.txt,0.25,path_length,C,0.092503322289025,0.16079104092559515,1491
5,Ob5.txt,0.25,path_length,dCdt,-0.003336364879454317,-0.058269736897775606,1491
5,Ob5.txt,0.25,path_length,R,-0.07620000369998026,-0.11755379908422667,1491
5,Ob5.txt,0.25,cos_theta_h,C,0.06042944468340646,0.09679040726013317,1348
5,Ob5.txt,0.25,cos_theta_h,dCdt,0.6814699932471995,0.6653770746898877,1348
5,Ob5.txt,0.25,cos_theta_h,R,-0.06643285725335871,-0.09513253059249507,1348
5,Ob5.txt,0.25,sin_theta_h,C,-0.08971905750306619,-0.08345640556509347,1348
5,Ob5.txt,0.25,sin_theta_h,dCdt,-0.5814669249726329,-0.5906071018730781,1348
5,Ob5.txt,0.25,sin_theta_h,R,0.09470474647378313,0.1022157185616573,1348
5,Ob5.txt,0.25,turning_proxy,C,-0.017581122934698587,-0.04540965218480431,1205
5,Ob5.txt,0.25,turning_proxy,dCdt,0.09263398890358181,0.008237922536561958,1205
5,Ob5.txt,0.25,turning_proxy,R,0.01728234525254924,0.015036598589823156,1205
5,Ob5.txt,0.5,dC_h,C,0.2987585259355211,0.3432266656756483,1489
5,Ob5.txt,0.5,dC_h,dCdt,0.6759967371316914,0.7073868985817608,1489
5,Ob5.txt,0.5,dC_h,R,-0.30478671911837857,-0.29304909419099623,1489
5,Ob5.txt,0.5,dR_h,C,-0.2962806958032863,-0.3000435403910527,1489
5,Ob5.txt,0.5,dR_h,dCdt,-0.6655272496249104,-0.6316938134879939,1489
5,Ob5.txt,0.5,dR_h,R,0.30482496233110795,0.3207913096719244,1489
5,Ob5.txt,0.5,path_length,C,0.07189396484954035,0.19877726128650933,1489
5,Ob5.txt,0.5,path_length,dCdt,-0.020070376816870662,-0.040884391985659685,1489
5,Ob5.txt,0.5,path_length,R,-0.05539982459229413,-0.11101641232557506,1489
5,Ob5.txt,0.5,cos_theta_h,C,0.19900530112183595,0.24247001930803536,1430
5,Ob5.txt,0.5,cos_theta_h,dCdt,0.5502082816975142,0.549829266408074,1430
5,Ob5.txt,0.5,cos_theta_h,R,-0.19645312077016525,-0.23636676035838727,1430
5,Ob5.txt,0.5,sin_theta_h,C,-0.18824875502853242,-0.19268814738745868,1430
5,Ob5.txt,0.5,sin_theta_h,dCdt,-0.47950851348662193,-0.4887839725553827,1430
5,Ob5.txt,0.5,sin_theta_h,R,0.1982234969889617,0.236331608175986,1430
5,Ob5.txt,0.5,turning_proxy,C,0.015529941153450409,0.0332617860292636,1350
5,Ob5.txt,0.5,turning_proxy,dCdt,0.004277264959328434,-0.04772902938795738,1350
5,Ob5.txt,0.5,turning_proxy,R,-0.025986669951533575,-0.04937079599363742,1350
5,Ob5.txt,0.75,dC_h,C,0.43987820579402526,0.4868621081988985,1486
5,Ob5.txt,0.75,dC_h,dCdt,0.5343217785009862,0.5479781265126835,1486
5,Ob5.txt,0.75,dC_h,R,-0.4443379800186797,-0.42185499987849895,1486
5,Ob5.txt,0.75,dR_h,C,-0.43568606549071603,-0.42680795629099766,1486
5,Ob5.txt,0.75,dR_h,dCdt,-0.5273267009424519,-0.49305043028360085,1486
5,Ob5.txt,0.75,dR_h,R,0.44480739991116597,0.46113802143827104,1486
5,Ob5.txt,0.75,path_length,C,0.06100896880275994,0.22827473094181508,1486
5,Ob5.txt,0.75,path_length,dCdt,-0.051348457206132646,-0.04604395938119657,1486
5,Ob5.txt,0.75,path_length,R,-0.04376479639526539,-0.09578576795068053,1486
5,Ob5.txt,0.75,cos_theta_h,C,0.31266654349693457,0.34889594695638415,1464
5,Ob5.txt,0.75,cos_theta_h,dCdt,0.4223856105730265,0.4297212989086495,1464
5,Ob5.txt,0.75,cos_theta_h,R,-0.3070825183791817,-0.3458667447310867,1464
5,Ob5.txt,0.75,sin_theta_h,C,-0.27132443806168066,-0.2759727435292718,1464
5,Ob5.txt,0.75,sin_theta_h,dCdt,-0.3750285631526669,-0.38272616675326915,1464
5,Ob5.txt,0.75,sin_theta_h,R,0.28559358906515897,0.3342795211273801,1464
5,Ob5.txt,0.75,turning_proxy,C,0.008808155133912553,0.0011856073434438966,1413
5,Ob5.txt,0.75,turning_proxy,dCdt,0.01860088302184723,-0.013697972396741783,1413
