ob,dataset,t,n_focals,neighbor_slots,unique_neighbors,neighbor_overlap_ratio,max_memberships_per_neighbor,fraction_multimembership_neighbors
1,Ob1.txt,32.87,24,192,73,2.6301369863013697,7,0.7945205479452054
1,Ob1.txt,32.97,24,192,69,2.782608695652174,7,0.782608695652174
1,Ob1.txt,33.07,24,192,73,2.6301369863013697,7,0.726027397260274
1,Ob1.txt,33.17,24,192,70,2.742857142857143,7,0.7142857142857143
1,Ob1.txt,33.27,24,192,74,2.5945945945945947,7,0.7297297297297297
1,Ob1.txt,33.37,24,192,72,2.6666666666666665,6,0.7916666666666666
1,Ob1.txt,33.47,24,192,74,2.5945945945945947,6,0.8108108108108109
1,Ob1.txt,33.57,24,192,76,2.526315789473684,5,0.7763157894736842
1,Ob1.txt,33.67,24,192,72,2.6666666666666665,7,0.7083333333333334
1,Ob1.txt,33.77,24,192,72,2.6666666666666665,7,0.7083333333333334
1,Ob1.txt,33.87,24,192,71,2.704225352112676,9,0.676056338028169
1,Ob1.txt,33.97,24,192,73,2.6301369863013697,6,0.8356164383561644
1,Ob1.txt,34.07,24,192,76,2.526315789473684,7,0.631578947368421
1,Ob1.txt,34.17,24,192,76,2.526315789473684,6,0.7368421052631579
1,Ob1.txt,34.27,24,192,73,2.6301369863013697,7,0.6712328767123288
1,Ob1.txt,34.37,24,192,83,2.3132530120481927,6,0.7108433734939759
1,Ob1.txt,34.47,24,192,72,2.6666666666666665,6,0.7361111111111112
1,Ob1.txt,34.57,24,192,72,2.6666666666666665,6,0.7222222222222222
1,Ob1.txt,34.67,24,192,82,2.341463414634146,5,0.7439024390243902
1,Ob1.txt,34.77,24,192,82,2.341463414634146,6,0.6463414634146342
1,Ob1.txt,34.87,24,192,79,2.430379746835443,6,0.7721518987341772
1,Ob1.txt,34.97,24,192,80,2.4,6,0.675
1,Ob1.txt,35.07,24,192,65,2.953846153846154,7,0.8769230769230769
1,Ob1.txt,35.17,24,192,73,2.6301369863013697,8,0.7123287671232876
1,Ob1.txt,35.27,24,192,77,2.493506493506493,7,0.6363636363636364
1,Ob1.txt,35.37,24,192,78,2.4615384615384617,8,0.6923076923076923
