spectral_set,n_runs,median_run_duration_sec,q75_run_duration_sec,q90_run_duration_sec,q95_run_duration_sec,mean_run_duration_sec,frac_runs_ge_0p1s,frac_runs_ge_0p2s,frac_runs_ge_0p5s,frac_runs_ge_1p0s,frac_runs_ge_2p0s,surrogate_type,replicate
high,7366,0.039999999999992,0.1599999999999952,0.679999999999864,1.219999999999756,0.22632093402114525,0.3038284007602498,0.22210154765137116,0.12897094759706762,0.06530002715177845,0.01642682595710019,coupled_phase_rank,6
low,7362,0.039999999999992,0.1499999999999955,0.6799999999999796,1.189999999999762,0.22788508557453885,0.30603096984515077,0.21896223852214072,0.1310785112741103,0.06438467807660962,0.01752241238793806,coupled_phase_rank,6
all,14728,0.039999999999992,0.159999999999968,0.6799999999999796,1.209999999999758,0.22710279739268813,0.30492938620315047,0.22053231939163498,0.130024443237371,0.06484247691472025,0.01697447039652363,coupled_phase_rank,6
high,83859,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019953970354997737,0.0009062831657901954,0.0,0.0,0.0,0.0,label_shuffle,7
low,83866,0.0099999999999997,0.02749999999999535,0.039999999999992,0.04999999999999,0.0199377578518083,0.0010254453533016955,0.0,0.0,0.0,0.0,label_shuffle,7
all,167725,0.0099999999999997,0.0199999999999994,0.039999999999992,0.04999999999999,0.019945863765088754,0.0009658667461618721,0.0,0.0,0.0,0.0,label_shuffle,7
high,8576,0.0299999999999991,0.1199999999999964,0.46999999999994596,0.8799999999998614,0.16960354477609618,0.2691231343283582,0.18190298507462688,0.09538246268656717,0.03952891791044776,0.010027985074626865,independent_phase_rank,7
low,8583,0.0299999999999991,0.1299999999999961,0.5599999999999832,1.0089999999998116,0.19557497378536298,0.28276826284515905,0.19561924734941163,0.11010136315973436,0.05009903297215426,0.013748106722591169,independent_phase_rank,7
all,17159,0.0299999999999991,0.129999999999974,0.5199999999999844,0.939999999999812,0.1825945567923289,0.2759484818462614,0.18876391398100123,0.10274491520484877,0.044816131476193254,0.01188880470889912,independent_phase_rank,7
high,7435,0.039999999999992,0.159999999999968,0.6599999999999353,1.1699999999999648,0.22450840618692075,0.29737726967047745,0.22071284465366509,0.12575655682582382,0.06186953597848016,0.017484868863483525,coupled_phase_rank,7
low,7431,0.039999999999992,0.1599999999999816,0.669999999999866,1.1699999999997661,0.22546494415284013,0.31045619701251514,0.22123536536132418,0.12797739200645944,0.06324855335755618,0.016148566814695196,coupled_phase_rank,7
all,14866,0.039999999999992,0.159999999999968,0.669999999999866,1.1699999999997661,0.2249865464818721,0.3039149737656397,0.22097403471007668,0.12686667563567872,0.06255885914166555,0.016816897618727296,coupled_phase_rank,7
high,83705,0.0099999999999997,0.029999999999994,0.039999999999992,0.04999999999999,0.019990681560238404,0.0009915775640642734,0.0,0.0,0.0,0.0,label_shuffle,8
low,83699,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.019977538560792308,0.0007885398869759495,0.0,0.0,0.0,0.0,label_shuffle,8
all,167404,0.019999999999996,0.029999999999994,0.039999999999992,0.04999999999999,0.019984110296047346,0.0008900623641012162,0.0,0.0,0.0,0.0,label_shuffle,8
high,8830,0.0299999999999991,0.1099999999999967,0.44999999999991,0.8699999999999074,0.16625934314833507,0.26296715741789356,0.17621744054360136,0.09082672706681767,0.041789354473386185,0.009060022650056626,independent_phase_rank,8
low,8823,0.0299999999999991,0.1299999999999961,0.539999999999892,0.989999999999802,0.18951037062221154,0.2832369942196532,0.19154482602289472,0.1050663039782387,0.04907627791000793,0.012694094979032075,independent_phase_rank,8
all,17653,0.0299999999999991,0.1199999999999964,0.489999999999902,0.9399999999999719,0.17788024698349122,0.2730980569874809,0.18387809437489377,0.09794369229026229,0.04543137143828244,0.010876338299439188,independent_phase_rank,8
high,7498,0.0299999999999991,0.1499999999999955,0.64999999999987,1.1799999999999646,0.22294745265400848,0.30488130168044814,0.21792477994131768,0.12403307548679648,0.06308348893038143,0.01720458789010403,coupled_phase_rank,8
low,7492,0.039999999999992,0.15249999999998862,0.659999999999868,1.1444999999997694,0.22337960491187336,0.30379071009076347,0.21703150026695142,0.12760277629471437,0.06233315536572344,0.01601708489054992,coupled_phase_rank,8
all,14990,0.039999999999992,0.1499999999999955,0.6499999999999805,1.1699999999997661,0.22316344229483062,0.30433622414943295,0.21747831887925284,0.1258172114743162,0.06270847231487658,0.016611074049366244,coupled_phase_rank,8
high,83604,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.02001483182622548,0.001040620066025549,0.0,0.0,0.0,0.0,label_shuffle,9
low,83605,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.019999999999997072,0.001064529633395132,0.0,0.0,0.0,0.0,label_shuffle,9
all,167209,0.019999999999996,0.0199999999999994,0.039999999999992,0.04999999999999,0.020007415868760113,0.0010525749212063945,0.0,0.0,0.0,0.0,label_shuffle,9
high,8777,0.0299999999999991,0.1099999999999967,0.439999999999912,0.839999999999832,0.16544833086473587,0.2597698530249516,0.1698758117807907,0.0879571607610801,0.038623675515552014,0.009342599977213172,independent_phase_rank,9
low,8785,0.0299999999999991,0.129999999999974,0.5399999999999838,1.0199999999999694,0.191340922026153,0.27842914058053503,0.19237336368810473,0.10597609561752988,0.05099601593625498,0.012407512805919181,independent_phase_rank,9
