lag_sec,spectral_set,median_retention,q25_retention,q75_retention,median_retention_lift,q25_retention_lift,frac_ob_lift_positive,median_mass,median_origin_count,surrogate_type,replicate
0.5,low,0.6692763223928535,0.6506380230250548,0.6998331586212231,0.13842105252863035,0.12017825472262356,1.0,0.532724651609803,9774.0,independent_phase_rank,3
1.0,high,0.5501999111505997,0.5066552033325773,0.5818248207486043,0.07158322688449625,0.03504623918621638,1.0,0.467275348390197,8323.0,independent_phase_rank,3
1.0,low,0.5962955586536547,0.5712274641036195,0.62790306335287,0.07011729427017022,0.032232591280439926,1.0,0.532724651609803,9745.0,independent_phase_rank,3
0.05,high,0.9001695422359629,0.8885873451230828,0.9078518379416469,0.3984934527778151,0.38968770261664143,1.0,0.49933288859239494,9890.0,coupled_phase_rank,3
0.05,low,0.8994475138121547,0.8893566958864911,0.9101843742944422,0.4011236032703025,0.38723467969272796,1.0,0.5006671114076051,9940.0,coupled_phase_rank,3
0.1,high,0.8549915228882019,0.8411012281081205,0.8677371318755094,0.35410732516846005,0.34206588478871547,1.0,0.49933288859239494,9890.0,coupled_phase_rank,3
0.1,low,0.8538693467336683,0.8421739632083729,0.8693873972957518,0.3555454361918161,0.34055692279469935,1.0,0.5006671114076051,9940.0,coupled_phase_rank,3
0.2,high,0.7892689737708188,0.7802543198482286,0.803023219023571,0.28905234166277494,0.28131220353240005,1.0,0.49933288859239494,9890.0,coupled_phase_rank,3
0.2,low,0.7891740737041846,0.7820971554392614,0.8062018985388477,0.28850967373109526,0.28108335164882725,1.0,0.5006671114076051,9940.0,coupled_phase_rank,3
0.5,high,0.6716619414067774,0.6601038607085967,0.6959285197334582,0.17210470240382492,0.1615392988000118,1.0,0.49933288859239494,9864.0,coupled_phase_rank,3
0.5,low,0.6739799331103679,0.663609215505049,0.6973123370539721,0.17411285604706683,0.1627644976192627,1.0,0.5006671114076051,9910.0,coupled_phase_rank,3
1.0,high,0.5879231667197283,0.5713431668665738,0.6039699671661122,0.0878441736184592,0.07248138922557426,1.0,0.49933288859239494,9814.0,coupled_phase_rank,3
1.0,low,0.5859923740718442,0.571665353808718,0.609812297494601,0.08630915689221169,0.07048979105367553,1.0,0.5006671114076051,9863.0,coupled_phase_rank,3
0.05,high,0.501993620414673,0.4974435042705012,0.5040163065059393,0.0010706638115631772,-0.001943439601576058,0.5789473684210527,0.5000334291636023,9893.0,label_shuffle,4
0.05,low,0.500633312222926,0.49792237895513464,0.5024585027839352,0.0012709030100334084,-0.0019820815410356574,0.5789473684210527,0.4999665708363977,9937.0,label_shuffle,4
0.1,high,0.5013986013986014,0.49729839731420256,0.5022927345758894,-0.000245725201120206,-0.002565274608957252,0.47368421052631576,0.5000334291636023,9892.0,label_shuffle,4
0.1,low,0.49934758606845325,0.49655445919367414,0.5020728442890247,-0.00046474888713721185,-0.0027920283912472588,0.47368421052631576,0.4999665708363977,9935.0,label_shuffle,4
0.2,high,0.5005354752342704,0.4954161971852005,0.5025660526740334,0.00023630855536860285,-0.003811951376526762,0.5263157894736842,0.5000334291636023,9890.0,label_shuffle,4
