replicate,variable,null_abs_transition_modulation
28,edge_minus_core_radial_signed_mean,0.013500679194547283
28,edge_high_speed_fraction_minus_core,0.0313729383106314
28,top_speed_radius_mean_z,0.04464690316641087
28,top_tangential_radius_mean_z,0.03202265508094862
28,resid_speed_gini,0.015431821877729623
28,resid_energy_shell_entropy,0.00597101232536984
29,edge_energy_share,0.010858994814689715
29,core_energy_share,0.01703792769935622
29,edge_minus_core_energy_share,0.008416389304096134
29,edge_minus_core_speed_mean,0.014598105191385963
29,edge_minus_core_speed_q75,0.02890018731602889
29,edge_minus_core_tangential_mean,0.030371591611256965
29,edge_minus_core_tangential_q75,0.03350531848362334
29,edge_minus_core_radial_abs_mean,0.010029339193867198
29,edge_minus_core_radial_abs_q75,0.011566804884500625
29,edge_minus_core_radial_signed_mean,0.03164754521852803
29,edge_high_speed_fraction_minus_core,0.01839415819340573
29,top_speed_radius_mean_z,0.0075368739009799846
29,top_tangential_radius_mean_z,0.019066762247595875
29,resid_speed_gini,0.037275627566824066
29,resid_energy_shell_entropy,0.013476564178822231
30,edge_energy_share,0.04574363809889573
30,core_energy_share,0.020346500914851434
30,edge_minus_core_energy_share,0.0434117741199225
30,edge_minus_core_speed_mean,0.04112311925664705
30,edge_minus_core_speed_q75,0.02539312987018072
30,edge_minus_core_tangential_mean,0.030607896933949025
30,edge_minus_core_tangential_q75,0.02858140907811796
30,edge_minus_core_radial_abs_mean,0.032419907612666166
30,edge_minus_core_radial_abs_q75,0.016313767903451515
30,edge_minus_core_radial_signed_mean,0.014151784099937226
30,edge_high_speed_fraction_minus_core,0.027125854791013482
30,top_speed_radius_mean_z,0.05010886685567534
30,top_tangential_radius_mean_z,0.025389326259463496
30,resid_speed_gini,0.020542632189024246
30,resid_energy_shell_entropy,0.00805349747038675
31,edge_energy_share,0.019375160924890333
31,core_energy_share,0.011304029335351351
31,edge_minus_core_energy_share,0.012142491782672626
31,edge_minus_core_speed_mean,0.007022050707165134
31,edge_minus_core_speed_q75,0.018210683708047015
31,edge_minus_core_tangential_mean,0.021551160716128476
31,edge_minus_core_tangential_q75,0.013185600562511168
31,edge_minus_core_radial_abs_mean,0.031018312398901904
31,edge_minus_core_radial_abs_q75,0.018157728903371695
31,edge_minus_core_radial_signed_mean,0.062138994055485536
31,edge_high_speed_fraction_minus_core,0.014284824429611126
31,top_speed_radius_mean_z,0.027711575237380326
31,top_tangential_radius_mean_z,0.013013829758138779
31,resid_speed_gini,0.04764304719842505
31,resid_energy_shell_entropy,0.014994972227116515
32,edge_energy_share,0.017653532551360457
32,core_energy_share,0.01834431994877503
32,edge_minus_core_energy_share,0.025070724751769163
32,edge_minus_core_speed_mean,0.018841684103174744
32,edge_minus_core_speed_q75,0.02828593475587443
32,edge_minus_core_tangential_mean,0.03514286860558749
32,edge_minus_core_tangential_q75,0.03715837709311995
32,edge_minus_core_radial_abs_mean,0.02881311397827202
32,edge_minus_core_radial_abs_q75,0.040988438541403494
32,edge_minus_core_radial_signed_mean,0.03191029429612324
32,edge_high_speed_fraction_minus_core,0.017249888750696857
32,top_speed_radius_mean_z,0.027090467412589553
32,top_tangential_radius_mean_z,0.022200901333856965
32,resid_speed_gini,0.05840295823193831
32,resid_energy_shell_entropy,0.012699436535388547
33,edge_energy_share,0.01769155737258163
33,core_energy_share,0.013885028614128464
33,edge_minus_core_energy_share,0.013697842201882915
33,edge_minus_core_speed_mean,0.014683459773639856
33,edge_minus_core_speed_q75,0.01090764681890144
33,edge_minus_core_tangential_mean,0.030909496358990013
33,edge_minus_core_tangential_q75,0.012068066726243665
33,edge_minus_core_radial_abs_mean,0.008717880550340035
33,edge_minus_core_radial_abs_q75,0.01397192896829419
33,edge_minus_core_radial_signed_mean,0.05058916524990817
33,edge_high_speed_fraction_minus_core,0.010557695915122456
33,top_speed_radius_mean_z,0.037892360342572096
33,top_tangential_radius_mean_z,0.027707218880108547
33,resid_speed_gini,0.0059231257975471685
33,resid_energy_shell_entropy,0.009596326638477815
34,edge_energy_share,0.019157861390085767
34,core_energy_share,0.03283630014132749
34,edge_minus_core_energy_share,0.026199873562629206
34,edge_minus_core_speed_mean,0.022467792405491516
34,edge_minus_core_speed_q75,0.016000332616461332
34,edge_minus_core_tangential_mean,0.024604414785030115
34,edge_minus_core_tangential_q75,0.008248522678952375
34,edge_minus_core_radial_abs_mean,0.03985543642274561
34,edge_minus_core_radial_abs_q75,0.03204307177644378
34,edge_minus_core_radial_signed_mean,0.017131538654950818
34,edge_high_speed_fraction_minus_core,0.025878627926014752
34,top_speed_radius_mean_z,0.009716716785128504
34,top_tangential_radius_mean_z,0.019934701531949622
34,resid_speed_gini,0.006972272721928852
34,resid_energy_shell_entropy,0.037592432223488154
35,edge_energy_share,0.03177814059557407
35,core_energy_share,0.010831313981931823
35,edge_minus_core_energy_share,0.021278545190798914
35,edge_minus_core_speed_mean,0.02661297677916638
35,edge_minus_core_speed_q75,0.002688444644474708
35,edge_minus_core_tangential_mean,0.030883309468724834
35,edge_minus_core_tangential_q75,0.01333758077271624
35,edge_minus_core_radial_abs_mean,0.0143917790242378
35,edge_minus_core_radial_abs_q75,0.007807728072494552
35,edge_minus_core_radial_signed_mean,0.019082672605312212
35,edge_high_speed_fraction_minus_core,0.019793230389966415
35,top_speed_radius_mean_z,0.022816233197273106
35,top_tangential_radius_mean_z,0.009596326638477815
35,resid_speed_gini,0.06072022457439252
35,resid_energy_shell_entropy,0.041131358015672054
36,edge_energy_share,0.02856936766966567
36,core_energy_share,0.030289925920354982
36,edge_minus_core_energy_share,0.04376785642393033
36,edge_minus_core_speed_mean,0.0292926033257479
36,edge_minus_core_speed_q75,0.017416987839368542
36,edge_minus_core_tangential_mean,0.014322376339771903
36,edge_minus_core_tangential_q75,0.011394322305180532
36,edge_minus_core_radial_abs_mean,0.023231499715595322
36,edge_minus_core_radial_abs_q75,0.01711181984119478
36,edge_minus_core_radial_signed_mean,0.02502484940810948
36,edge_high_speed_fraction_minus_core,0.011600601989426113
36,top_speed_radius_mean_z,0.004374256561169965
36,top_tangential_radius_mean_z,0.014332128945566625
36,resid_speed_gini,0.05115527769824754
36,resid_energy_shell_entropy,0.0016761439290693403
37,edge_energy_share,0.04755388282527745
37,core_energy_share,0.06602848928384736
37,edge_minus_core_energy_share,0.06959862470822367
37,edge_minus_core_speed_mean,0.06136940117522641
37,edge_minus_core_speed_q75,0.031442490792532723
37,edge_minus_core_tangential_mean,0.04941726410581762
37,edge_minus_core_tangential_q75,0.045666589784715966
37,edge_minus_core_radial_abs_mean,0.023766667456974033
37,edge_minus_core_radial_abs_q75,0.018968483365574274
37,edge_minus_core_radial_signed_mean,0.015184413178159939
37,edge_high_speed_fraction_minus_core,0.039924160637652195
37,top_speed_radius_mean_z,0.026452997539737316
37,top_tangential_radius_mean_z,0.04097266305124214
37,resid_speed_gini,0.01841743517578584
37,resid_energy_shell_entropy,0.03554899619912452
38,edge_energy_share,0.01830093901647442
38,core_energy_share,0.036109852679500676
38,edge_minus_core_energy_share,0.019454997797019563
38,edge_minus_core_speed_mean,0.02685959311606803
38,edge_minus_core_speed_q75,0.005333789692244628
38,edge_minus_core_tangential_mean,0.03494799086542422
38,edge_minus_core_tangential_q75,0.012681866681929888
38,edge_minus_core_radial_abs_mean,0.01570715216460275
38,edge_minus_core_radial_abs_q75,0.018410785879105163
38,edge_minus_core_radial_signed_mean,0.008752050165244885
